,e_name,e_category,e_type
726,Hawthorne Hills Veterinary Hospital,veterinary,0
727,S Jackson St & 23rd Ave S,bus_stop,0
728,Rock Box,bar,0
729,Pier 55 (South),building,1
730,Seattle Center Armory,building,1
731,Yachtfish,boat,0
732,Consulate of El Salvador in Seattle,office,0
733,3rd Ave Cafe,cafe,0
734,Aesop,Cosmetics & Beauty Supply,0
735,Kokkaku,restaurant,0
736,Calvary Luthern School,school,0
737,The Underground Gallery,art,0
738,Barg French Cleaners,dry_cleaning,0
739,Stroke,artwork,0
740,Tango Zulu Imports,craft,0
741,Northwest Tailor & Cleaner,tailor,0
742,Republican St & 1st Ave N,bus_stop,0
743,Q.E.D. Coffee,cafe,0
744,Drexel Hotel (Sec. E),commercial,1
745,Grocery Outlet,supermarket,0
746,The Liberty Building,building,1
747,Adv3nture,clothes,0
748,Mobi,mobile_phone,0
749,Seattle Escape Games,attraction,0
750,Seattle Fudge,Candy Stores; Chocolatiers & Shops,0
751,Neil Kelly Design Center,furniture,0
752,Flying Squirrel Pizza,restaurant,0
753,University of Washington,subway_entrance,0
754,SW Barton St & 35th Ave SW,bus_stop,0
755,Kaleidoscope School,school,0
756,Redhook Brewlab,pub,0
757,Great Clips,hairdresser,0
758,Strategic Edge,office,0
759,In Transition is Unity,artwork,0
760,King County Juvenile Detention,office,1
761,Lenin,artwork,0
762,Swedish Sand Point Primary Care,clinic,0
763,Shade,curtain,0
764,3rd Ave & Columbia St,bus_stop,0
765,Old School PinUps,photo,0
766,Single Shot,restaurant,0
767,Catholic Archdiocese of Seattle,office,0
768,All The Best Pet Care Inventory Office,office,0
769,Seattle Northeast Chiropractic,healthcare,0
770,663 Bistro,restaurant,0
771,Wells Fargo,bank,0
772,Piroshki on 3rd,Bakeries; Filipino; Ukrainian,0
773,Jose's Taqueria,cafe,0
774,N 46th St & Aurora Ave N,bus_stop,0
775,Xfinity,telecommunication,0
776,Bandol,restaurant,0
777,Eyes On Fremont,optician,0
778,Blade & Timber - Seattle Axe Throwing,leisure,0
779,Stewart House,social_facility,1
780,3rd Ave & Bell St,bus_stop,0
781,Gray & Gray Home,interior_decoration,0
782,National Nordic Museum,museum,1
783,Benaroya Hall Garage,parking_entrance,0
784,Vandeventer + Carlander Architects,office,0
785,Rudy's Barbershop,hairdresser,0
786,Amazon.com Obidos,office,1
787,Bellevue Ave E & E Thomas St,bus_stop,0
788,Integrus Architecture,office,0
789,Billings Middle School,school,0
790,Club Pilates,leisure,0
791,Baba Mama,office,0
792,Ingersoll Gender Center,community_centre,0
793,Amazon.com Meeting Center (Sec. C),office,1
794,PCC Community Markets,supermarket,0
795,Lavilla,historic,0
796,Plaza Barber & Style,hairdresser,0
797,Cedar Room,nightclub,0
798,Rose Nails,beauty,0
799,NE 55th St & Princeton Ave NE,bus_stop,0
800,Madame Lazonga's,tattoo,0
801,James St & 5th Ave,bus_stop,0
802,Boren Ave & Madison St,bus_stop,0
803,The Brig,building,1
804,Minuteman Press,printer,0
805,Cookin’ at Madison Park,houseware,0
806,Metsker Maps,Bookstores; Souvenir Shops,0
807,32 Good Reasons,General Dentistry,0
808,Wave Broadband,office,0
809,WeWork,office,0
810,Capitol Hill Station,subway_entrance,0
811,Fantasy Unlimited,clothes,0
812,Roosevelt Way NE & NE 108th St,bus_stop,0
813,Westlake Ave N & 8th Ave N,bus_stop,0
814,MOD Pizza,fast_food,0
815,Majestic Bay,cinema,0
816,Pilates Seattle,leisure,0
817,Banner Bank,atm,0
818,Lyon Building,building,1
819,Steelsmith Haus,office,0
820,Dewdrops,artwork,0
821,Araya's Place,restaurant,0
822,Guy's Barber & Style Shop,hairdresser,0
823,Foster / White Gallery,art,0
824,24th Ave NW & NW 75th St,bus_stop,0
825,Teriyaki Bowl,restaurant,0
826,Olympic Tower,building,1
827,Gyro Hut,fast_food,0
828,Sky Launch,office,0
829,Novo Nordisk,office,0
830,"Randy Weisz, DDS",dentist,0
831,Cedar Speedster (South),commercial,1
832,Jasmine,restaurant,0
833,Gary Manuel,beauty,0
834,NE 65th St & 44th Ave NE,bus_stop,0
835,Cabrini Medical Tower,office,1
836,Allstate - Cathy Darracott,office,0
837,Simply Seattle,gift,0
838,Wood Shop BBQ,restaurant,0
839,Bartell Drugs,pharmacy,0
840,E Madison St & 13th Ave,bus_stop,0
841,Goodsoul,clothes,0
842,Consign Design,furniture,0
843,E Pine St & Bellevue Ave,bus_stop,0
844,Sugar Mountain,office,0
845,12th Ave S & S Weller St,bus_stop,0
846,Kai's Bistro & Lounge,bar,0
847,Queen Anne Farmer's Market,marketplace,0
848,H&R Block,office,0
849,Aveda,cosmetics,0
850,a & bé,bridal,0
851,SPEX,optician,0
852,Trig Electric,office,0
853,Seattle Tattoo Emporium,tattoo,0
854,Rachel the Piggy Bank,artwork,0
855,FOB Poke Bar,fast_food,0
856,Hammering Man,artwork,0
857,Washington Research Foundation,office,1
858,Broadway E & E John St,bus_stop,0
859,Portage Bay Cafe,restaurant,0
860,Holiday Inn Seattle Downtown - Block 2,hotel,1
861,Mbar,Cocktail Bars; Mediterranean; Middle Eastern,0
862,Salon Adidez,hairdresser,0
863,Westlake Ave N & Galer St,bus_stop,0
864,NW 85th St & 24th Ave NW,bus_stop,0
865,The Yoga Tree,leisure,0
866,Metropolitan Park: East Tower,building,1
867,Slate Coffee Roasters,cafe,0
868,Big Tuna,fast_food,0
869,23rd Ave & E Olive St,bus_stop,0
870,Mexico Cantina,restaurant,0
871,Savanna Apartments,building,1
872,Bookstore Bar & Cafe,Bars; American (New); Breakfast & Brunch,0
873,Nike,clothes,0
874,Chopsticks,fast_food,0
875,Colaizzo Opticians,optician,0
876,505 Union Station (Bld. 5),building,1
877,Chase,atm,0
878,Hotel Five,hotel,1
879,Washington Jaw & Facial Surgery,doctors,0
880,Art Primo,art_supply,0
881,Bop Box,restaurant,0
882,First & Stewart Building (South),building,1
883,Nice Nails & Spa,beauty,0
884,The Seated IV,artwork,0
885,23rd Ave E & E Thomas St,bus_stop,0
886,Migrare,artwork,0
887,ICHS - International District,waste_basket,0
888,Don James,artwork,0
889,Seattle Cancer Care Alliance - Block 5,clinic,1
890,Cedarhouse Flowers,florist,0
891,Miss Cafe,restaurant,0
892,Eastlake Ave E & E Allison St,bus_stop,0
893,Utilikilts,clothes,0
894,Seattle Mystery Bookshop,books,0
895,Westlake Ave N & Westlake Aly,bus_stop,0
896,Kraken Team Store,clothes,0
897,Laurelhurst Barbershop,hairdresser,0
898,Royal Moving Co.,office,0
899,Blu Dot,furniture,0
900,Market Place Two (Section D),building,1
901,Ballard Stop,convenience,0
902,Lake Union Waterworks,leisure,0
903,Latona Ave NE & NE 54th St,bus_stop,0
904,Rainier Valley Optometric,optician,0
905,First Hill Dental Center,General Dentistry; Periodontists; Endodontists,0
906,Seattle Art Museum,museum,0
907,Meridian Ave N & N 105th St,bus_stop,0
908,Starbucks Center - Block 2,office,1
909,Ducky's Office Furniture,furniture,0
910,Howard Building (Section B),building,1
911,BECU,bank,0
912,Dong Hing Market,supermarket,0
913,Rainier Valley Community Development Fund,office,0
914,City Nails Salon,beauty,0
915,NE 43rd St & Brooklyn Ave NE,bus_stop,0
916,Northwest Hospital,bus_stop,0
917,Amazon Go,"Convenience Stores; Sandwiches; Beer, Wine & Spirits",0
918,Planted Pilates & Wellness,leisure,0
919,Broadway Market,commercial,1
920,Eastlake Market,convenience,0
921,SW Alaska St & 35th Ave SW,bus_stop,0
922,Bimbos Cantina,restaurant,0
923,Harbor Island Marina,leisure,1
924,Stewart House,social_facility,1
925,7-Eleven,convenience,0
926,Barber Shop,hairdresser,0
927,Gilman Ave W & 25th Ave W,bus_stop,0
928,400 Harvard Apartments,,0
929,Kate's Pub,pub,0
930,U.S. Bank,bank,0
931,Ripple Sculptures,artwork,0
932,The Cairns,building,1
933,Topographic Syncretism,artwork,0
934,Ugly Baby,gift,0
935,Marine-Life Paintings,artwork,0
936,Dumplings of Fury,fast_food,0
937,E Union St & Broadway,bus_stop,0
938,Optimum Chiropractic,chiropractic,0
939,Antioch Baptist Church,place_of_worship,0
940,Tobya Art Gallery,gallery,0
941,"University Street Station (entrance 2, 3)",subway_entrance,0
942,Montlake Blvd E & E Shelby St,bus_stop,0
943,Maritime Pacific Brewing Company,craft,1
944,"Collections Objects, Experiences, Memories",artwork,0
945,The Broadway Building,building,1
946,Left Bank Book Collective,books,0
947,Morrison Hotel (North),building,1
948,Chili's South Indian Cousine,restaurant,0
949,Omeros,office,0
950,Watershed Pub,pub,0
951,Trace,bar,0
952,Off the Wall School of Music @ 1240,music_school,0
953,Noren Sushi Kitchen and Bar,restaurant,0
954,Stevens Way & Rainier Vis,bus_stop,0
955,Waterton,building,1
956,Blindfold Gallery,art,0
957,Moorea Seal,clothes,0
958,Local Tide,restaurant,0
959,Walgreens (East),pharmacy,1
960,Madrona Plaza (Sec. H),building,1
961,Hot Cakes,restaurant,0
962,Delridge Way SW & SW Genesee St,bus_stop,0
963,More Than A Barber,hairdresser,0
964,Skyline Pacific Northwest,office,0
965,3rd Ave & Pike St,bus_stop,0
966,Luosifen,restaurant,0
967,Luminaire,artwork,0
968,"Will Chen, C.P.A. PLLC",office,0
969,Verizon,mobile_phone,0
970,Graduate Seattle,hotel,1
971,Subway,fast_food,0
972,1800 Ninth (Sec. C),building,1
973,Little Chengdu,restaurant,0
974,Young Tea,cafe,0
975,Einstein Bros. Bagels,fast_food,0
976,Domino's,fast_food,0
977,Tamari Bar,restaurant,0
978,Northgate Rose Garden,florist,0
979,Burke Museum of Natural History and Culture (Building 5),museum,1
980,NE Ravenna Blvd & 21st Ave NE,bus_stop,0
981,Odegaard Undergraduate Library - Blk. 5,library,1
982,Olive 8,building,1
983,The Sweat Studios,leisure,0
984,Wallingford Ave N & N 80th St,bus_stop,0
985,Taco Del Mar,fast_food,0
986,32nd Ave NW & NW 61st St,bus_stop,0
987,Flowers Just 4 U,florist,0
988,Lake Union Park,information,0
989,GM Nameplate,office,0
990,Klein James Auctions,office,0
991,Lowman Building - Block 2,building,1
992,Pacific Tower,landmark,1
993,West Seattle Smoke Company,tobacco,0
994,Counterbalance Bicycles Mural,artwork,0
995,Cherry Street Coffee House,cafe,0
996,Fremont Foundry,events_venue,1
997,Rocket Taco,restaurant,0
998,Belltown Vision,optician,0
999,Fog Room,bar,0
1000,One Pacific Tower (Bld. 6),building,1
1001,5th Ave S &S Weller St,crossing,0
1002,Lazy Susan,restaurant,0
1003,Peck Building,building,1
1004,Mi Plus,cafe,0
1005,Human Forms in Balance,artwork,0
1006,Safe N Sound Swimming,school,0
1007,Concordia Lutheran School,school,0
1008,Bin 41,alcohol,0
1009,Central Area Health Care Center,clinic,1
1010,H&R Block,office,0
1011,Earl Harper Studios,photo,0
1012,Annex Theater,theatre,0
1013,Mariners Team Store,sports,0
1014,Eileen Fisher,clothes,0
1015,Wooly Mammoth,shoes,0
1016,Paesano's Coffee & Cafe,cafe,0
1017,Wallingford Ave N & N 82nd St,bus_stop,0
1018,Seattle Police Department (West),police,1
1019,Navy Strength,pub,0
1020,Bank of America,atm,0
1021,Service Printing Co,copyshop,0
1022,Subway,fast_food,0
1023,Queen Anne Hilltop Dental,dentist,0
1024,Acme Barbershop,hairdresser,0
1025,les amis,clothes,0
1026,Leira Designs,clothes,0
1027,Kelley Ross Pharmacy,waste_basket,0
1028,Mayflower Park Hotel Seattle,hotel,1
1029,California Ave SW & SW Dawson St,bus_stop,0
1030,Smoke Plus,tobacco,0
1031,Top Pot Doughnuts,cafe,0
1032,W Mercer St & 3rd Ave W,bus_stop,0
1033,Waterton - Blk. 4,building,1
1034,La Cocina y Cantina,restaurant,0
1035,Little Free Library,public_bookcase,0
1036,Aurora Ave N & N 38th St,bus_stop,0
1037,Mac's Upholstery,upholstery,0
1038,Stewart St & 7th Ave,bus_stop,0
1039,Little Free Library,public_bookcase,0
1040,mBar,bar,0
1041,5th Ave NE & Northgate Mall,bus_stop,0
1042,Luna Sandals,shoes,0
1043,Bodycenter Studios,leisure,0
1044,Downtown Dog Lounge,animal_boarding,0
1045,Martin L King Jr Way & E Olive St,bus_stop,0
1046,Providence Vincent House,social_facility,0
1047,Peck Building - Block 3,building,1
1048,O Dessert,cafe,0
1049,Kinetic Sports Rehab,clinic,0
1050,The Stop,fast_food,0
1051,Central Agency Building,building,1
1052,Broadway Market - Blk. 5,commercial,1
1053,Tiffany & Company,jewelry,0
1054,Conscious Choice Chiropractic,doctors,0
1055,Washington Trails Association,office,0
1056,Starbucks,cafe,0
1057,Spa Envy,beauty,0
1058,Knee High Stocking Co.,bar,0
1059,NE 42nd St & 8th Ave NE,bus_stop,0
1060,Ballard Neighborhood Service Center,townhall,0
1061,c,crossing,0
1062,Aurora Ave N & N 115th St,bus_stop,0
1063,3rd Ave & Marion St,bus_stop,0
1064,5 Lights Acupuncture,healthcare,0
1065,Lisa Harris Gallery,art,0
1066,Pacific Rim Building (East),building,1
1067,Cafe Argento,cafe,0
1068,I Heart Sushi,restaurant,0
1069,Seattle Cider Co.,office,0
1070,A-plus Hearing Aid,medical,0
1071,Retail Therapy,clothes,0
1072,Ascent South Lake Union (South),building,1
1073,K Hair Salon,hairdresser,0
1074,NOAA Corps,office,0
1075,Bodytonic Pilates,leisure,0
1076,W Tilden St & 30th Ave W,bus_stop,0
1077,Juicy Cafe,cafe,0
1078,Eastern Hotel,building,1
1079,Elliott Ave W & W Prospect St,bus_stop,0
1080,Hammer + Awl,clothes,0
1081,Kate Spade New York,clothes,0
1082,Columbia City Fitness (East),leisure,1
1083,de Medici Ming,gift,0
1084,Smith,restaurant,0
1085,Hudson,restaurant,0
1086,5th Ave NE & NE 80th St,bus_stop,0
1087,Verizon,Mobile Phones; Electronics; Internet Service Providers,0
1088,Jack’s BBQ,restaurant,0
1089,Archipelago,restaurant,0
1090,Union Manor;Union Arms,building,1
1091,Big Max Burger Co.,restaurant,0
1092,NE 50th St & 19th Ave NE,bus_stop,0
1093,The Beauty Lab,beauty,0
1094,Thai Ocean,restaurant,0
1095,Swedish First Hill Medical Center,hospital,1
1096,AIA Insurance,office,0
1097,Zum Fitness,leisure,0
1098,Russell Investments Center,building,1
1099,Starbucks,cafe,0
1100,Farmers Insurance - Maureen Healy,office,0
1101,34th Ave & E Marion St,bus_stop,0
1102,Wells Fargo,atm,0
1103,Swat Systems,office,0
1104,Olympia Pizza & Pasta,restaurant,0
1105,Best Service & Repair,car_repair,0
1106,Zipcar,car_sharing,0
1107,Market Place Two,building,1
1108,Stockbox First Hill Grocery,convenience,0
1109,Greenwood Animal Hospital,veterinary,0
1110,International District Village Square II,community_centre,1
1111,The Egg & Us,cafe,0
1112,H.I.S. International Tours,travel_agency,0
1113,The Ice Box,video_games,0
1114,Denali Financial Consulting,office,0
1115,5th Ave N & Broad St,bus_stop,0
1116,Maid Pro,office,0
1117,Bad Albert's Tap & Grill,pub,0
1118,Hollywood Erotic Boutique,erotic,0
1119,Ballard Tool Library,tool_hire,0
1120,Queen Anne Ave N & W Crockett St,bus_stop,0
1121,Matt Talbot Center,social_facility,0
1122,Verizon,mobile_phone,0
1123,1201 Third Avenue Parking,parking,0
1124,The Brig (Building 9),building,1
1125,Queen Anne Ave N & Garfield St,bus_stop,0
1126,Leary Ave NW & NW Vernon Pl,bus_stop,0
1127,Nordstrom Rack,clothes,0
1128,E Denny Way & E Olive Way,bus_stop,0
1129,Deli Cut Subs,restaurant,0
1130,SoDo Poké,restaurant,0
1131,Vetri,art,0
1132,Kiin Kiin Thai Eating Room,restaurant,0
1133,Still Liquor,bar,0
1134,Excellent Nails & Wax,beauty,0
1135,Wells Fargo Bank,Banks & Credit Unions,0
1136,Queen Margherita,restaurant,0
1137,Cortona Cafe,cafe,0
1138,3rd Ave & James St,bus_stop,0
1139,Lamplight Books,books,0
1140,Smith Tower Observatory,attraction,0
1141,Wallingford Ave N & N 90th St,bus_stop,0
1142,S Jackson St & 18th Ave S,bus_stop,0
1143,W Government Way & 30th Ave W,bus_stop,0
1144,May Salon,beauty,0
1145,Sacred Circle Gift Shop,gift,0
1146,The Nest at Thompson Seattle,bar,0
1147,Take 5 Urban Market,convenience,0
1148,Campus Cleaners,dry_cleaning,0
1149,Tableau Software,office,0
1150,Country Doctor,clinic,0
1151,Wood Shop BBQ,restaurant,0
1152,Seattle Smile Works,dentist,0
1153,Aurora Ave N & N 125th St,bus_stop,0
1154,Square Knot,cafe,0
1155,Bank of America,atm,0
1156,Sasha Moon Salon,hairdresser,0
1157,Little Free Library,public_bookcase,0
1158,Woodland Park Zoo,zoo,1
1159,Community Pantry,give_box,0
1160,2nd Ave & Marion St,bus_stop,0
1161,E Cherry St & 24th Ave,bus_stop,0
1162,Stadium Place (Bld. 2),office,1
1163,Potbelly,fast_food,0
1164,Moon Gates,artwork,0
1165,College Way N & N 103rd St,bus_stop,0
1166,Storyville Coffee,cafe,0
1167,Denny Way & 6th Ave N,bus_stop,0
1168,15th Ave NW & NW Market St,bus_stop,0
1169,Listening,artwork,0
1170,Wow Bubble Tea,cafe,0
1171,Monorail Espresso,cafe,0
1172,Speed Queen Coin Laundry - The Clean Machine,laundry,0
1173,24th Ave NW & NW 75th St,bus_stop,0
1174,LaMi Nail Supply,beauty,0
1175,Ridgewood Bottle & Tap,pub,0
1176,dogtopia,animal_boarding,0
1177,ProSki,sports,0
1178,Field Roast,coffee,0
1179,Juicy Cafe,beverages,0
1180,23rd Ave E & E Aloha St,bus_stop,0
1181,Laser Dome,cinema,0
1182,Signature Flight Support 3 - Blk. 3,office,1
1183,The Bridge,bar,0
1184,Metsker Maps of Seattle,books,0
1185,Hopvine Pub,pub,0
1186,Seattle Meowtropolitan,cafe,0
1187,Chase,atm,0
1188,Nickerson Business Center (South),building,1
1189,FLUTTER Studios,Photographers; Art Space Rentals,0
1190,Signature Flight Support 3,office,1
1191,Woodland Park Zoo,zoo,1
1192,Ulta Beauty,cosmetics,0
1193,The Westin Seattle,hotel,1
1194,The Polyclinic Madison Center,clinic,1
1195,Relish Burger Bistro,American (New); Burgers; Desserts,0
1196,8th Ave NW & NW 70th St,bus_stop,0
1197,Amara,social_facility,0
1198,Harbor Island Marina (Section C),leisure,1
1199,Workhorse Industries,screen_printer,0
1200,15th Ave NE & NE 123rd St,bus_stop,0
1201,Cupcake Royale,cafe,0
1202,Refine Nails - Spa,beauty,0
1203,MTI Physical Therapy,clinic,0
1204,Fogue Gallery,art,0
1205,SIFF Film Center,cinema,0
1206,Cherry Street Market,cafe,0
1207,Shango Throne,artwork,0
1208,Simply Soulful Cafe,restaurant,0
1209,Tesla Supercharger,charging_station,0
1210,Aria,hairdresser,0
1211,Nickerson Business Center,building,1
1212,Buckhorn Barbershop,hairdresser,0
1213,Kubota Garden - Blk. 4,leisure,1
1214,Flooring America,flooring,0
1215,ICHS,clinic,0
1216,Pioneer Mart,convenience,0
1217,S Othello St & Martin L King Way S,shelter,0
1218,Serious Pie,restaurant,0
1219,F45 Training,leisure,0
1220,Wild Salmon Seafood Market,Seafood Markets,0
1221,11,building,1
1222,One Pacific Tower,building,1
1223,Neighborcare Health at 45th Street,doctors,1
1224,Orangetheory Fitness,leisure,0
1225,Totem Smokehouse,butcher,0
1226,Howard Building,building,1
1227,Something Silver,jewelry,0
1228,Edward Jones Investments,office,0
1229,Four Seasons Seattle (Sec. G),hotel,1
1230,Los Tinos Mexican Restaurant,restaurant,0
1231,Pacific Building (South),building,1
1232,Squirrel Chops,cafe,0
1233,Harbor Steps Southeast Tower - Blk. 2,building,1
1234,NE 103rd St & 5th Ave NE,bus_stop,0
1235,Classical Cuts Too,hairdresser,0
1236,Bite Square,convenience,0
1237,Paseo,restaurant,0
1238,Great State Burger - Lumen Field,fast_food,0
1239,Fran's Chocolates,Chocolatiers & Shops,0
1240,Starbucks,cafe,0
1241,Interagency Alder Academy,school,0
1242,8th Ave NW & NW 75th St,bus_stop,0
1243,W Nickerson St & Jesse Ave W,bus_stop,0
1244,W Nickerson St & 6th Ave W,bus_stop,0
1245,Domino's,fast_food,0
1246,National Multiple Sclerosis Society,office,0
1247,Fremont Brewing Merchantile,alcohol,0
1248,Facebook Dexter,office,0
1249,Subway,fast_food,0
1250,King Plaza Laundry,laundry,0
1251,West Garage,parking,0
1252,The RuHaRa Building (South),building,1
1253,Office Depot,stationery,0
1254,Savanna Apartments - Blk. 2,building,1
1255,Martin L King Jr Way S & S Orcas St,bus_stop,0
1256,The Original Childrens Shop,clothes,0
1257,Fix Auto - South Seattle,car_repair,0
1258,Eileen Fisher,clothes,0
1259,Fran's Chocolates,chocolate,0
1260,Seattle Super Market,supermarket,0
1261,Core Commercial Properties,office,0
1262,Cupcake Royale,cafe,0
1263,Northwest Work Lofts,building,1
1264,Indigo Cow,ice_cream,0
1265,O'Reilly Auto Parts,car_parts,0
1266,Pegasus Coffee Bar,Coffee Roasteries,0
1267,Juan Alonso Studio,art,0
1268,Ballard Licensing,office,0
1269,Lifelong Thrift,clothes,0
1270,George Pocock Memorial Rowing Center,leisure,0
1271,Ballard Family Dentistry,dentist,0
1272,Haight Building,building,1
1273,Time Frame,artwork,0
1274,Cascade Machinery & Electric,office,0
1275,QFC,,0
1276,Molly Moon's Homemade Ice Cream - Wallingford,ice_cream,0
1277,Georgetown License,office,0
1278,Pacific Tax Services,office,0
1279,Amazon.com Cricket,office,1
1280,MITT,artwork,0
1281,Metropolitan Deli & Cafe,deli,0
1282,Pike St & 6th Ave,bus_stop,0
1283,Fonda La Cantrina,restaurant,0
1284,Summit Law Group,office,0
1285,Keytime,classes,0
1286,Royal Grinders,fast_food,0
1287,Preston Singletary,art_studio,0
1288,Green Leaf,restaurant,0
1289,Burke Museum of Natural History and Culture,museum,1
1290,Cafe Solstice,cafe,0
1291,Nijo Sushi Bar & Grill,restaurant,0
1292,Phở Mỹ Châu,restaurant,0
1293,William H. Seward,artwork,0
1294,Starbucks,cafe,0
1295,Noah's Grocery Store,convenience,0
1296,NE 45th St & 42nd Ave NE,bus_stop,0
1297,Huntington Learning Center,prep_school,0
1298,Szechuan Noodle Bowl,restaurant,0
1299,Petra,restaurant,0
1300,Trieva's Spa & Boutique,beauty,0
1301,Executive Hotel Pacific (Section C),hotel,1
1302,Shadow Land,bar,0
1303,Q Mart,convenience,0
1304,Inspire,leisure,0
1305,Taylor Shellfish Oyster Bar,cafe,0
1306,CVS Pharmacy,pharmacy,0
1307,Second & Seneca Building,building,1
1308,Orangetheory Fitness,leisure,0
1309,HomeStreet Bank,bank,0
1310,Alexander Marine,office,0
1311,Redhawk Center - Blk. 3,leisure,1
1312,Hope Bible Fellowship Church,place_of_worship,0
1313,Einstein Bros. Bagels,fast_food,0
1314,Sushi Bella,restaurant,0
1315,Motif Seattle Hotel,hotel,1
1316,Dirt Exchange,trade,0
1317,Madrona Dr & E Olive St,bus_stop,0
1318,Arco,fuel,0
1319,Molly's Bottle Shop - Ballard,wine,0
1320,King Plaza Dental & Dentures,dentist,0
1321,Corner Market,marketplace,1
1322,Consulate General of Canada in Seattle,office,0
1323,Boren Ave & Columbia St,bus_stop,0
1324,Bay Cafe,cafe,0
1325,Taco Del Mar,fast_food,0
1326,Northwest Eye Surgeons,doctors,0
1327,15th Ave NW & NW Leary Way,bus_stop,0
1328,Waterfront Fountain,artwork,0
1329,Pioneer Collective,coworking_space,0
1330,Rollback Bench,artwork,0
1331,Casco Antiguo,restaurant,0
1332,Jackson St Tattoo,tattoo,0
1333,Bank of America,office,0
1334,Chase,bank,0
1335,3rd Ave W & W Raye St,bus_stop,0
1336,Neighborcare Health at 45th Street - Block 4,doctors,1
1337,Berliner,restaurant,0
1338,Queen Anne Ave N & W Aloha St,bus_stop,0
1339,West Seattle Coworking (Sec. D),coworking_space,1
1340,Subway,fast_food,0
1341,Blue Saucer Cafe,cafe,0
1342,Regional Transportation Planning Organization,office,0
1343,Alpine Hut,bicycle,0
1344,The Octopus Bar,bar,0
1345,Shear Elegance,hairdresser,0
1346,12th Ave S & S Weller St,bus_stop,0
1347,Sparkle Cleaners,dry_cleaning,0
1348,Pacific Telephone and Telegraph Co. Building,building,1
1349,Allen Institute for Brain Science,office,1
1350,Amazon.com Gatsby,office,1
1351,The Polyclinic Madison Center (North),clinic,1
1352,Buckley's,pub,0
1353,Husky Grind,cafe,0
1354,4th Ave S & S Royal Brougham Way,bus_stop,0
1355,Matt's in the Market,restaurant,0
1356,Coven,hairdresser,0
1357,MadArt Studio,art,0
1358,Supreme Cornershop,convenience,0
1359,Fine Arts Building,building,1
1360,Dickson Law Group,office,0
1361,Electrify America Charging Station,charging_station,0
1362,Westlake Cleaners,dry_cleaning,0
1363,Chase,bank,0
1364,European Foods,deli,0
1365,HomeSight Homeownership Center,office,0
1366,Greenlake Kids Dentistry,dentist,0
1367,Russell Investments Center (South),building,1
1368,S Dearborn St & Corwin Pl S,bicycle_parking,0
1369,Qwest Plaza,building,1
1370,Fremont Village Square,building,1
1371,Sounder Platform Elevator,elevator,0
1372,Fremont Bowl,restaurant,0
1373,The Lodge Sports Grille,restaurant,0
1374,Atlantic Street Pizza,fast_food,0
1375,Visit Seattle Concierge Services,information,0
1376,Amazon.com Cricket - Block 2,office,1
1377,Georgetown Deli & Market,deli,0
1378,Fresh Tangerine,jewelry,0
1379,Northgate Supercharger,charging_station,0
1380,Kraken Community Iceplex,leisure,1
1381,Salal Credit Union,atm,0
1382,Madrona Real Estate Services,office,0
1383,Elen Villa Alterations,tailor,0
1384,The Grinning Yogi,leisure,0
1385,Meridian Ave N & N 45th St,bus_stop,0
1386,Broadway & E Union St,bus_stop,0
1387,Frankie & Jo's - Capitol Hill,cafe,0
1388,Local Point,restaurant,0
1389,The Crescent,bar,0
1390,Bank of America,bank,0
1391,Odegaard Undergraduate Library,library,1
1392,Sizzling Pot King,restaurant,0
1393,Miro Tea,cafe,0
1394,Locksmith Plus,locksmith,0
1395,Shipmates Light,historic,0
1396,Seattle Chiropractic Center,doctors,0
1397,Caffe Vita,cafe,0
1398,Double J Saloon,bar,0
1399,Seattle Center Armory (Sec. E),building,1
1400,Bank of America,atm,0
1401,Qdoba,fast_food,0
1402,Broadway & E Denny Way,bus_stop,0
1403,Broadway E & E Roy St,bus_stop,0
1404,Seattle Garden,artwork,0
1405,Standard Public House,pub,0
1406,Budget,car_rental,0
1407,Genki Sushi Inc,restaurant,0
1408,5th Ave NE & NE 71st St,bus_stop,0
1409,The Forge Lounge,bar,0
1410,Mrs Pets,pet_grooming,0
1411,Seattle Police Department,police,1
1412,Mr. D's,restaurant,0
1413,23rd Ave S & S Judkins St,bus_stop,0
1414,Seattle George Monument,artwork,0
1415,California Ave SW & SW Findlay St,bus_stop,0
1416,Circle of Art Studios,art_classes,0
1417,Queen Anne Ave N & W Harrison St,bus_stop,0
1418,Imbrication,artwork,0
1419,Public Storage,storage_rental,0
1420,Broadway Shoe Repair,craft,0
1421,Walgreens,pharmacy,1
1422,Folio,hairdresser,0
1423,Emerald City Chiropractic,healthcare,0
1424,Osborn (Sec. E),building,1
1425,Port of Seattle Headquarters,office,1
1426,Katterman’s Sand Point Pharmacy,pharmacy,0
1427,T-Mobile,mobile_phone,0
1428,11th Ave & E Madison St,bus_stop,0
1429,Dandylion,restaurant,0
1430,Super Hair Salon,hairdresser,0
1431,Cafe Limoncello,cafe,0
1432,Oiselle,clothes,0
1433,Be Luminous Yoga,leisure,0
1434,Gilman Ave W & 26th Ave W,bus_stop,0
1435,28th Ave W & W Ruffner St,bus_stop,0
1436,Corner Market (Section D),marketplace,1
1437,Olympic Tower - Blk. 4,building,1
1438,Breaching Orca,artwork,0
1439,The Yard Cafe,restaurant,0
1440,Butter Home,interior_decoration,0
1441,Seattle Pacific University Bookstore,books,0
1442,All The Best Pet Care Business Office,office,0
